Blog	second	here	music	until	want	feature	how	series	re	tech	best	never	much	life	things	had	right	old	people	support	time	team	love	working	such	data	so	years	didn	internet	million	quite	one	open	future	say	saw	take	drive	ways	going	where	many	photos	technology	being	around	world	power	favorite	her	am	an	as	original	tv	th	small	past	hours	social	more	company	its	always	found	really	number	self	also	play	cover	set	see	using	readers	d	be	by	into	line	up	us	ago	try	video	let	great	makes	next	doing	could	start	system	face	should	hope	email	ve	off	less	web	become	does	told	work	after	then	them	they	another	what	do	away	we	com	has	voice	night	security	post	months	way	was	together	change	live	can	write	product	still	not	now	january	year	than	online	america	only	between	these	media	real	read	early	amp	t	business	your	lot	trying	since	month	very	family	site	tried	help	actually	put	latest	pretty	during	x	won	probably	both	look	while	used	user	game	some	doesn	e	go	facebook	win	camera	started	links	including	special	times	need	talk	based	she	problem	i	well	page	twitter	home	he	friends	even	new	ever	tell	give	president	before	better	went	side	mean	content	isn	seem	don	m	stop	bad	decided	said	against	appeared	three	if	make	left	just	yet	down	finally	me	did	run	making	sunday	may	man	maybe	nbsp	interesting	thing	think	first	little	anyone	were	especially	show	black	get	morning	enough	reading	according	called	mark	those	different	pay	same	money	videos	again	important	u	steve	search	two	share	through	good	everyone	house	hard	idea	least	b	most	find	please	point	fun	big	bit	google	often	back	others	ll	day	have	almost	thought	like	about	buy	but	under	every	would	my	keep	end	over	writing	each	driving	got	free	wanted	days	already	top	too	took	though	report	full	news	been	several	everything	no	when	posts	today	trump	huge	name	state	turn	place	any	ideas	sure	later	come	case	myself	week	without	blog	or	there	all	list	design	might	feel	story	nothing	part	his	hit	him	wrote	are	recently	attention	questions	question	long	once	app	use	from	few	something	our	out	their	which	who	why	view	stories	job	last	will	gets	other	smart	know	because	getting	own	made	book
Eschaton	0	1	1	1	0	0	5	0	4	0	2	3	5	2	2	0	0	3	20	0	1	1	0	1	0	0	1	0	2	0	0	2	8	0	1	1	0	2	1	0	0	0	1	0	1	0	1	1	0	0	1	1	2	5	0	1	0	0	1	0	0	6	0	1	1	0	3	0	0	1	1	0	0	2	0	0	1	6	4	1	0	4	3	1	1	0	0	2	1	1	1	1	0	0	0	2	1	0	0	0	1	0	0	2	0	2	0	0	4	5	0	4	5	0	0	0	4	0	4	0	1	0	0	14	0	0	0	7	3	0	2	8	1	1	1	5	0	3	1	0	3	1	1	0	0	0	18	0	3	2	0	0	1	1	1	0	1	0	0	0	0	1	0	3	0	4	1	1	0	0	0	0	3	3	0	0	0	0	0	0	0	1	1	0	1	0	2	0	2	32	1	0	0	0	13	0	7	6	2	1	1	5	1	1	0	0	2	0	2	0	6	2	1	1	0	2	0	0	2	4	0	0	4	0	2	0	7	4	0	0	4	0	0	2	0	0	3	7	1	2	1	4	1	2	1	6	1	0	0	3	2	0	2	1	1	0	2	0	0	0	1	2	0	0	0	1	3	0	3	2	1	1	0	2	0	0	2	2	0	1	0	2	1	0	1	1	11	0	0	4	12	0	16	1	2	2	7	2	0	2	1	1	3	0	0	0	1	2	0	3	1	0	1	0	2	3	0	1	2	6	0	1	8	0	0	0	1	0	1	0	1	2	0	0	0	0	0	0	8	2	5	0	0	3	1	0	0	0	3	0	0	0	7	0	1	1	0	2	0	0	0	5	0	1	0	1	5	10	5	3	2	0	2	0	2	0	3	0	4	1	0	0	0	0
ShoeMoney	0	14	0	0	3	0	9	0	5	1	0	0	2	2	0	0	2	0	0	0	5	0	2	1	0	3	6	2	0	2	2	0	5	0	0	0	0	1	1	3	5	0	0	0	0	1	1	2	0	0	0	1	6	4	0	1	0	1	1	0	3	7	0	2	1	0	0	0	0	1	1	0	0	0	1	0	0	6	2	3	0	2	4	0	1	0	2	1	2	1	1	2	1	0	0	1	0	0	1	0	1	4	0	3	0	3	2	2	5	3	1	13	6	0	7	0	2	3	0	0	0	2	1	1	1	0	0	9	0	0	1	5	2	0	3	2	1	0	2	0	2	3	3	1	0	0	7	5	21	2	0	0	1	3	0	0	0	1	1	0	3	0	0	0	0	0	0	3	1	0	0	0	2	0	2	0	0	0	0	1	0	0	0	0	4	0	0	0	0	6	0	0	0	0	2	0	2	1	0	2	0	0	1	1	0	3	1	2	2	0	1	3	0	0	0	0	0	0	0	5	3	0	2	2	0	0	0	1	0	2	0	1	1	0	0	1	2	4	0	1	0	0	0	1	0	5	0	0	2	0	0	0	0	2	1	0	4	0	0	0	0	0	3	0	0	0	0	3	0	1	0	0	0	1	0	0	0	0	6	0	4	0	1	1	1	0	6	1	0	2	8	0	11	0	0	3	0	3	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	2	2	1	1	3	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	5	0	0	4	0	0	1	0	0	0	10	0	0	0	0	0	0	0	0	5	1	0	7	5	1	0	2	11	0	0	0	0	6	0	2	0	1	1	3	2	0	0
Slashdot	4	0	0	0	1	1	3	0	2	3	3	0	3	0	1	0	1	0	5	4	2	0	0	0	4	3	4	2	0	5	0	0	3	1	1	2	0	1	1	2	0	1	3	0	1	2	2	3	1	0	0	1	23	12	0	0	0	1	1	0	3	28	5	10	0	1	1	2	2	8	0	0	1	2	3	0	2	11	10	3	1	7	1	1	0	2	0	0	1	7	0	3	0	4	1	4	0	0	2	1	2	12	1	1	3	2	6	2	0	4	1	5	3	0	5	0	15	4	0	6	0	4	3	12	1	0	0	10	0	0	1	11	2	2	9	3	0	0	5	0	3	0	1	16	0	1	7	1	6	1	0	1	2	0	0	1	1	1	2	3	0	0	0	8	0	0	1	0	1	3	0	1	5	1	0	0	1	0	0	1	0	5	1	1	4	0	6	0	3	19	5	0	0	1	13	0	6	11	2	1	0	0	0	1	0	1	1	2	0	0	0	3	0	2	1	5	0	0	1	3	5	0	6	1	3	2	5	0	0	1	3	1	0	0	0	0	0	0	6	0	0	6	0	2	0	2	0	1	0	2	0	0	0	0	1	3	1	0	1	0	3	1	0	4	0	3	0	1	1	1	0	0	0	5	3	0	0	0	0	1	4	1	2	1	2	0	6	1	0	8	5	1	13	0	1	2	5	0	1	6	1	1	0	1	2	0	0	3	4	1	0	1	6	0	1	2	0	0	1	1	0	1	0	0	0	2	0	2	2	0	1	1	0	5	0	1	2	0	8	4	3	0	2	0	0	15	0	2	5	0	1	0	15	1	0	0	0	1	2	2	5	15	1	2	2	5	5	5	2	0	0	0	0	3	11	0	5	3	0	2	1	1	1	0
Matt Cutts: Gadgets, Google, and SEO	0	1	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	4	1	1	1	0	1	1	0	1	2	0	0	0	0	2	1	0	0	0	1	3	0	0	0	1	0	1	0	1	2	0	0	0	0	2	2	0	0	1	0	0	0	1	2	0	0	1	0	1	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	4	1	1	0	0	1	0	2	0	1	0	0	0	1	0	0	4	1	0	3	0	0	0	1	1	0	2	2	1	1	1	1	2	0	3	0	0	0	0	1	1	5	0	0	0	2	1	0	1	1	2	1	3	0	0	0	0	0	1	1	0	1	0	0	3	0	5	1	1	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	21	0	0	0	0	3	1	0	0	0	2	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	2	1	3	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	3	2	0	0	3	6	0	3	0	1	1	6	1	1	2	0	1	0	0	0	1	0	0	0	1	2	0	1	2	1	2	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	3	0	0	0	0	1	0	0	0	1	0	0	0	1	3	2	0	0	0	0	0	0	0	4	1	0	0	1	2	0	1	0	0	0	0	3	0	0	0	1	1	1	0	0	0	0
Gothamist	1	4	0	2	0	0	4	2	2	0	5	1	2	2	3	5	2	12	12	1	5	0	2	0	0	0	5	3	0	2	4	0	8	1	0	2	0	1	0	0	0	1	2	5	0	3	1	1	1	0	4	0	8	15	0	0	2	0	0	2	0	47	1	3	2	0	1	0	0	6	1	0	0	2	1	0	0	3	5	3	0	10	4	1	0	1	1	3	1	1	1	1	2	3	0	1	0	0	1	2	0	0	0	0	0	1	9	1	2	3	0	2	5	0	9	0	8	0	7	0	1	0	0	21	0	1	1	6	0	0	3	1	5	0	17	7	0	2	2	1	1	1	0	0	3	0	5	0	5	0	0	2	6	2	0	0	2	0	1	0	1	0	2	2	3	0	0	0	1	4	0	0	7	0	0	0	3	2	3	0	3	1	2	1	2	1	0	2	0	5	1	0	3	2	11	1	0	22	4	0	0	3	1	0	1	13	0	0	0	0	1	0	0	0	0	1	3	0	2	2	3	1	7	0	8	0	1	0	0	1	1	0	4	0	13	0	0	0	3	1	1	7	0	2	0	7	3	1	0	3	2	1	1	0	1	0	2	0	4	0	2	0	0	4	1	1	2	0	2	1	0	2	0	5	0	0	2	0	0	0	0	0	2	3	0	3	4	2	0	4	5	0	6	2	1	1	2	1	2	8	0	0	3	1	0	0	5	1	3	2	1	0	1	0	0	1	3	0	1	7	0	3	11	0	0	3	1	1	1	1	0	2	1	0	0	3	0	0	3	3	4	0	1	0	0	2	0	2	11	0	2	0	8	0	1	1	0	1	1	1	2	11	1	0	4	5	5	4	12	0	0	3	2	11	2	1	2	0	0	5	0	2	2	0
Techdirt.	3	18	3	5	10	1	31	0	15	5	6	9	17	1	14	15	10	6	39	6	19	7	2	3	25	23	55	27	6	16	0	12	52	4	4	10	4	14	7	8	18	14	30	0	8	24	14	7	6	0	10	2	62	111	3	2	4	5	5	9	4	68	12	39	5	5	15	7	0	30	10	2	1	14	11	3	7	118	88	17	3	34	23	8	7	17	4	2	10	4	6	25	6	9	4	22	4	25	17	11	8	2	3	16	2	12	20	16	17	76	7	45	29	6	62	4	65	0	1	5	8	1	23	61	1	9	2	39	3	1	21	106	20	5	23	36	12	5	35	9	20	8	6	2	1	0	101	10	30	6	11	11	5	13	4	11	4	22	26	7	6	6	12	0	8	6	12	7	27	10	2	12	32	16	12	6	6	6	1	6	0	9	1	9	13	3	12	2	11	54	20	2	8	1	50	0	33	30	6	1	3	20	6	6	7	6	4	20	17	3	14	7	7	18	5	30	24	5	5	54	18	2	26	4	21	3	9	11	8	16	0	19	2	1	0	4	11	16	29	8	3	29	7	5	4	26	3	9	2	7	6	4	26	13	10	15	9	4	11	3	30	9	2	14	0	12	17	4	5	4	6	8	1	25	2	2	13	2	10	2	5	9	14	6	10	4	74	5	1	36	70	0	79	21	7	50	4	4	7	28	2	6	2	5	10	3	5	16	8	6	6	8	6	3	22	31	10	6	27	37	2	2	51	3	8	30	7	7	23	3	8	1	8	22	0	11	12	1	75	55	55	2	0	13	5	30	14	8	43	1	7	3	89	3	3	3	7	7	5	1	22	67	10	14	32	35	44	40	34	9	0	5	3	13	64	6	31	0	8	21	12	12	16	24
Joi Ito's Web	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	2	0	1	0	0	0	1	0	2	3	0	1	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	3	0	1	3	0	0	0	0	0	1	1	2	0	0	0	1	0	0	0	1	0	0	0	1	0	0	2	2	1	1	0	0	2	0	0	1	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	1	0	1	0	2	3	0	5	0	1	0	0	0	1	0	0	6	0	0	4	0	1	0	0	0	0	0	3	0	0	0	1	0	0	4	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	2	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	3	0	4	1	17	0	0	0	1	0	0	0	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	3	1	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	0	3	4	0	0	0	8	0	0	0	1	0	7	0	0	3	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	0	3	1	0	0	0	4	1	0	3	2	0	0	0	0	0	0	1	3	0	0	1	0	2	0	0	0	0	8
ongoing by Tim Bray	0	8	1	0	2	0	5	0	14	0	2	0	2	0	0	0	1	0	1	0	5	0	4	1	0	0	7	1	0	0	0	0	7	1	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	5	5	0	0	0	0	0	0	0	3	0	0	0	1	0	0	1	0	1	0	2	2	0	0	3	14	8	0	0	3	2	1	3	0	1	2	0	0	0	2	2	0	2	2	0	0	6	0	0	0	0	0	0	4	0	2	4	3	0	5	3	0	3	5	3	0	1	0	1	1	1	1	0	0	3	6	0	0	2	3	1	0	6	2	0	0	0	0	1	0	0	3	0	0	14	0	1	3	0	4	1	0	0	0	0	0	0	1	0	0	0	0	3	0	1	0	2	0	0	0	4	1	0	2	0	0	1	0	0	0	0	1	0	1	0	1	0	42	3	0	0	0	0	0	1	3	0	2	1	0	0	1	2	0	2	0	1	0	5	2	0	0	0	2	0	0	2	6	0	0	2	0	1	0	2	0	1	0	0	0	0	1	0	0	2	4	1	0	0	0	0	0	0	3	0	1	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	2	1	1	3	0	0	0	0	3	0	2	2	1	0	0	0	1	1	0	3	0	4	7	5	0	0	6	1	0	9	0	0	2	11	1	1	0	0	0	0	3	2	0	0	0	0	1	2	0	0	4	0	1	0	0	2	3	0	1	0	1	0	0	0	3	4	0	1	1	3	0	0	0	0	1	2	3	4	0	0	3	0	0	0	0	1	0	0	0	3	0	0	0	0	1	2	1	1	6	2	0	1	7	1	5	1	1	0	0	1	3	1	0	0	0	0	0	0	0	0	0
The Viral Garden	3	25	6	0	34	0	60	9	4	0	7	10	6	2	6	40	7	2	68	2	26	5	2	1	8	0	62	6	14	0	0	1	40	2	1	6	2	7	1	6	10	18	25	0	0	21	7	4	5	2	5	25	43	88	1	1	9	5	2	4	135	64	13	11	6	10	10	5	4	10	2	4	0	22	30	10	5	78	24	9	3	23	16	5	4	0	8	13	4	9	13	8	4	0	0	16	2	3	20	5	5	1	10	5	3	17	8	23	50	90	9	44	40	3	48	22	13	2	3	0	43	7	27	94	5	3	3	42	9	2	14	23	19	1	19	10	8	2	16	2	25	123	3	10	3	3	86	12	70	14	7	3	1	23	0	12	1	10	11	4	2	3	5	0	11	12	6	2	8	1	4	1	17	2	0	14	14	1	0	14	9	1	1	1	8	1	0	2	6	340	12	7	61	0	17	12	19	21	3	11	6	0	11	10	7	1	8	15	6	2	15	18	2	3	6	13	0	0	3	61	20	10	21	1	2	2	57	13	0	4	2	12	1	4	14	5	17	32	23	3	3	36	1	5	1	21	0	5	8	2	5	2	12	3	3	16	3	0	3	4	0	0	3	8	8	4	17	10	0	0	18	5	2	23	9	3	6	2	12	8	0	9	20	9	17	17	61	2	11	27	48	2	80	1	10	31	68	3	5	15	5	5	3	10	6	12	10	2	4	6	10	5	0	3	1	11	9	0	19	38	9	4	0	0	10	1	2	3	8	6	11	5	8	8	5	5	2	48	38	37	34	12	0	5	2	2	2	7	8	2	3	7	104	6	7	5	0	8	3	0	20	44	26	9	7	27	72	19	16	21	5	3	1	12	47	1	19	2	22	38	6	24	8	0
SpikedHumor - Today's Videos and Pictures	6	102	2	1	1	1	5	0	2	0	6	1	0	2	1	5	0	2	3	1	4	1	1	0	1	0	2	2	0	0	1	1	6	0	2	1	1	1	0	0	0	0	2	2	0	1	4	1	0	0	0	2	11	1	0	2	1	0	0	0	0	4	0	7	0	2	1	0	0	3	3	0	4	4	4	0	1	1	108	2	0	13	2	2	0	15	2	1	1	0	0	1	0	1	4	1	1	0	2	3	0	0	0	2	0	2	3	2	3	0	3	5	2	1	9	6	8	4	1	2	3	0	2	4	1	1	2	5	0	0	2	8	0	0	0	1	0	4	0	2	1	0	4	0	1	0	6	0	6	0	0	1	0	0	2	1	0	0	1	3	0	0	0	1	0	2	0	5	3	0	0	1	9	1	0	2	0	0	1	1	0	0	3	1	1	2	0	3	3	19	0	1	0	0	7	0	5	7	3	1	0	0	2	0	2	2	1	0	0	0	3	1	0	0	0	3	0	0	0	1	2	2	12	0	3	0	5	2	0	3	0	1	4	2	0	2	0	2	2	1	0	0	0	5	2	4	1	0	0	1	1	0	2	0	0	0	1	4	1	0	3	0	1	0	1	0	2	2	2	0	0	0	0	2	0	2	0	0	1	1	1	0	2	0	0	1	6	0	0	5	9	0	8	1	3	2	8	2	3	0	0	0	3	1	1	0	5	0	2	2	0	0	1	2	2	3	1	1	1	4	0	0	0	0	0	0	0	0	2	2	0	0	0	0	2	0	0	0	3	1	14	1	0	2	3	0	0	7	9	0	1	0	6	0	0	1	0	2	2	3	0	20	1	2	1	1	3	0	3	4	1	1	0	4	5	2	2	0	4	3	0	0	0	0
The Official Google Blog	3	10	3	2	7	2	41	4	24	4	6	0	2	5	9	15	22	0	23	2	19	12	5	12	2	12	32	0	1	7	3	2	16	2	5	6	2	11	1	9	3	13	16	3	9	2	13	11	3	2	9	2	31	35	2	1	5	0	3	1	1	58	2	11	4	5	6	3	0	15	12	2	10	15	12	6	9	33	31	15	0	24	11	0	4	9	3	3	2	4	0	7	7	7	2	1	2	0	14	5	2	3	5	6	1	11	8	7	11	34	4	38	16	5	88	4	16	2	2	21	8	1	5	37	7	3	6	62	1	2	1	13	5	2	61	19	9	1	6	1	30	2	2	4	3	8	20	13	90	3	0	7	3	2	5	10	2	23	0	1	4	1	7	6	2	0	4	15	8	9	4	5	19	2	0	6	0	2	2	4	0	11	1	5	9	1	5	6	0	30	3	6	0	37	3	5	11	40	4	5	3	2	4	5	2	1	3	8	2	0	4	2	2	1	1	2	10	0	6	12	20	14	13	2	4	1	12	3	1	7	0	7	1	0	0	1	1	4	11	0	0	18	0	6	1	18	1	0	1	5	2	1	6	4	12	0	1	5	0	7	5	0	25	4	6	12	3	7	0	2	3	0	1	18	10	2	1	2	3	0	159	4	5	3	9	13	33	0	1	33	33	2	16	1	8	4	10	9	1	11	1	12	0	6	5	3	2	6	16	3	2	1	2	3	30	17	3	4	14	24	3	7	0	1	2	2	4	8	8	4	8	1	1	1	1	12	4	3	28	13	42	3	0	0	3	8	0	3	4	2	0	0	58	4	2	15	4	6	1	2	16	72	6	3	68	29	39	12	16	4	5	8	2	11	20	1	16	6	6	3	4	7	11	0
Neil Gaiman's Journal	5	37	0	6	16	0	20	7	12	0	7	12	23	8	49	42	10	11	44	4	34	2	21	4	10	0	61	22	11	5	3	5	42	1	0	2	2	11	2	2	27	23	15	2	1	8	7	16	3	0	12	20	39	52	7	8	18	6	2	9	3	33	1	5	5	6	23	3	2	11	1	23	10	19	3	0	23	104	71	14	2	36	22	28	2	7	8	2	5	11	27	21	1	0	0	12	15	3	31	10	6	0	2	6	5	22	12	30	43	48	10	36	40	11	53	28	20	1	11	0	6	7	8	110	5	5	4	44	16	0	11	61	28	0	43	12	3	3	22	7	14	4	2	27	6	1	53	0	25	13	6	5	5	17	7	0	1	10	7	17	1	3	4	0	5	7	5	8	10	3	0	0	35	3	13	23	3	1	0	10	4	4	2	8	13	5	3	11	0	434	9	7	3	4	50	9	30	40	9	9	7	0	18	6	21	4	1	1	8	2	12	61	2	5	2	15	1	1	8	62	24	6	22	5	4	3	64	20	2	7	2	9	11	3	307	2	20	7	21	9	4	22	4	6	1	33	4	2	15	1	6	2	5	8	8	9	18	1	5	1	0	0	0	23	5	9	24	9	2	8	6	2	4	9	14	3	1	6	6	17	2	2	23	3	20	13	66	10	8	42	46	3	47	1	3	38	81	6	2	21	24	8	1	23	4	7	23	2	0	19	9	3	1	1	2	27	5	6	11	24	0	3	0	5	4	0	4	6	12	4	11	6	5	4	6	7	5	13	62	58	49	1	4	4	7	8	5	6	31	1	18	11	65	0	2	10	1	11	4	1	0	62	13	22	8	54	19	31	48	4	1	12	2	21	58	4	17	2	11	34	8	8	14	64
Signal v. Noise - Medium	2	12	1	4	19	22	60	0	20	0	11	3	14	13	14	27	8	3	48	8	21	19	2	6	6	1	48	14	10	0	5	2	25	9	0	5	2	12	3	2	11	36	14	1	3	9	2	2	0	0	11	0	36	46	2	0	3	3	4	4	1	39	19	3	2	8	18	0	1	12	4	7	6	22	5	0	33	53	29	11	0	35	19	9	16	14	7	14	4	4	8	22	6	6	2	10	3	10	22	4	2	0	4	5	2	26	10	20	25	62	4	52	43	9	102	9	12	1	1	0	5	4	14	69	2	0	4	31	7	23	14	36	19	1	18	16	6	0	13	4	19	3	2	13	3	0	97	19	29	5	9	2	2	5	2	13	2	9	4	6	1	2	3	3	2	7	1	11	6	4	4	2	23	13	0	10	3	1	1	12	1	0	0	6	16	2	1	18	5	202	9	0	2	1	38	3	27	24	2	8	6	0	10	15	5	0	1	13	12	2	27	15	1	3	3	4	0	0	4	43	14	0	51	5	5	4	23	12	7	3	0	1	2	4	0	5	7	13	17	6	5	30	3	12	1	40	0	2	1	0	0	0	12	6	8	14	9	7	5	1	0	5	0	9	8	22	13	9	1	4	9	7	3	11	10	2	6	4	1	8	2	6	8	7	15	21	50	1	2	46	45	2	66	0	11	24	44	11	3	17	7	6	2	16	4	9	5	9	4	10	7	13	0	4	2	9	2	3	8	27	1	5	0	5	2	1	2	6	8	6	6	2	8	4	5	17	6	8	47	31	41	5	6	9	3	15	2	8	14	0	5	3	50	3	4	3	8	5	7	2	7	41	5	21	42	37	27	13	28	7	4	2	21	6	6	2	20	0	17	9	5	6	7	16
456 Berea Street	0	2	0	0	1	0	4	0	0	0	1	1	0	0	1	1	0	0	3	1	0	0	0	1	0	5	6	1	1	0	0	1	3	0	0	0	0	1	0	2	1	1	4	0	1	2	0	0	0	0	0	0	4	5	0	0	0	2	0	0	0	2	0	7	1	1	3	1	0	1	0	0	3	4	3	1	3	6	3	1	0	2	0	2	0	0	0	1	0	0	1	1	0	0	0	0	0	0	3	0	0	4	0	0	0	1	3	1	2	1	0	2	5	0	2	0	3	0	0	0	4	0	1	6	0	1	0	6	0	0	0	4	1	0	0	6	0	0	1	0	1	0	0	10	0	0	11	0	1	1	1	2	0	1	0	2	1	2	1	0	0	0	0	0	1	0	1	6	2	2	0	0	5	1	0	1	0	0	0	0	1	0	0	0	3	0	0	0	3	30	4	0	0	0	0	0	3	0	2	0	1	0	2	0	0	0	0	1	3	0	4	0	1	0	0	0	0	0	1	4	5	0	1	0	4	1	2	0	0	2	0	5	0	0	0	0	0	3	0	1	1	3	0	0	0	2	0	1	0	1	0	0	1	5	0	1	0	0	1	1	0	0	0	1	1	1	1	0	0	0	0	3	0	3	1	0	0	0	0	2	0	2	0	0	0	0	8	0	2	3	2	0	9	0	2	0	3	1	0	4	1	2	0	0	0	0	0	1	2	2	0	0	2	12	1	3	1	0	2	7	0	0	0	0	0	0	0	0	3	0	1	0	1	1	0	0	1	0	9	6	3	1	2	0	0	0	0	1	0	0	0	2	6	0	0	0	0	1	0	0	9	4	0	0	0	1	3	4	1	2	0	0	0	0	5	1	0	0	0	1	1	1	0	0
Joel on Software	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	3	0	0	2	0	2	0	3	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	2	2	0	5	0	1	0	0	0	0	0	0	3	0	0	0	0	0	1	0	1	1	0	1	2	0	0	0	0	1	0	0	10	0	0	0	0	1	1	0	3	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	1	6	0	0	0	0	0	0	0	2	0	0	0	0	0	3	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	3	0	0	0	0	0	1	0	0	0	3	0	0	0	2	0	1	0	0	0	1	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	4	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	1	0	0
Wired	1	0	0	0	0	0	4	0	2	3	1	0	1	0	1	0	0	2	0	0	2	0	0	0	0	0	1	1	0	2	0	0	7	0	0	0	0	1	0	1	0	4	1	3	0	1	0	2	0	0	0	0	3	2	0	0	0	1	0	0	0	7	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	5	1	0	0	0	1	0	0	0	0	3	0	1	0	0	0	0	0	2	1	0	0	2	0	1	1	0	0	2	0	3	0	1	3	0	4	1	0	3	0	0	0	0	0	1	1	5	0	0	0	5	1	0	1	2	0	0	1	0	1	0	0	0	0	0	6	0	3	2	0	0	0	0	0	0	0	2	0	0	2	0	1	0	0	0	0	0	0	1	0	0	2	1	1	0	5	0	0	1	0	1	2	0	1	0	1	0	0	0	0	0	1	0	2	0	1	3	2	0	0	1	0	0	0	0	1	0	1	0	2	0	0	0	0	1	0	0	0	0	0	1	2	0	2	2	0	0	0	0	0	1	1	0	0	0	0	2	4	0	0	2	0	4	4	2	0	2	0	0	0	2	2	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	2	0	1	0	1	2	5	0	0	2	3	1	6	1	1	0	0	0	2	4	0	0	3	0	0	0	0	0	1	1	0	0	0	0	4	0	0	3	0	0	0	1	2	1	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	1	3	0	3	2	0	0	0	0	1	0	1	0	5	0	0	1	0	0	1	0	2	3	0	0	0	3	1	0	2	2	0	0	0	1	3	1	0	0	0	0	1	0	1	0
